This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:      758
Number of nonzeros in inequality constraint Jacobian.:       40
Number of nonzeros in Lagrangian Hessian.............:      660

Total number of variables............................:      248
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:      218
Total number of inequality constraints...............:       40
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       40

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 135r 8.5958765e+01 4.84e-02 1.70e+02  -2.0 6.41e-01  -0.2 1.00e+00 1.00e+00f  1
 136r 8.9889012e+01 4.85e-02 1.89e+02  -2.0 2.82e+00  -0.6 3.72e-01 1.98e-01f  1
 137r 9.0855134e+01 4.83e-02 4.56e+02  -2.0 3.33e-01  -0.2 1.00e+00 2.82e-01f  1
 138r 9.0577823e+01 4.80e-02 2.55e+02  -2.0 6.59e-01  -0.7 1.00e+00 4.19e-01f  1
 139r 9.0299540e+01 4.78e-02 1.23e+01  -2.0 2.55e-01  -0.3 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 8.9855759e+01 4.73e-02 3.29e+01  -2.0 5.39e-01  -0.8 1.00e+00 1.00e+00f  1
 141r 8.9603464e+01 4.73e-02 8.97e+00  -2.0 1.63e-01  -0.3 1.00e+00 1.00e+00h  1
 142r 8.9227426e+01 4.68e-02 2.53e+01  -2.0 3.58e-01  -0.8 1.00e+00 1.00e+00f  1
 143r 8.9003147e+01 4.67e-02 7.38e+00  -2.0 1.09e-01  -0.4 1.00e+00 1.00e+00h  1
 144r 8.8677412e+01 4.63e-02 1.96e+01  -2.0 2.36e-01  -0.9 1.00e+00 1.00e+00f  1
 145r 8.8491532e+01 4.63e-02 5.67e+00  -2.0 6.91e-02  -0.4 1.00e+00 1.00e+00h  1
 146r 8.8206749e+01 4.59e-02 1.50e+01  -2.0 1.52e-01  -0.9 1.00e+00 1.00e+00h  1
 147r 8.8053196e+01 4.59e-02 4.24e+00  -2.0 4.24e-02  -0.5 1.00e+00 1.00e+00h  1
 148r 8.7799899e+01 4.57e-02 1.14e+01  -2.0 1.04e-01  -1.0 1.00e+00 1.00e+00h  1
 149r 8.7673783e+01 4.56e-02 3.11e+00  -2.0 3.23e-02  -0.5 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 8.7440926e+01 4.55e-02 8.74e+00  -2.0 7.53e-02  -1.0 1.00e+00 1.00e+00h  1
 151r 8.7337883e+01 4.55e-02 2.25e+00  -2.0 2.47e-02  -0.6 1.00e+00 1.00e+00h  1
 152r 8.7100583e+01 4.55e-02 7.23e+00  -2.0 6.88e-02  -1.1 1.00e+00 1.00e+00h  1
 153r 8.7014915e+01 4.55e-02 1.65e+00  -2.0 2.10e-02  -0.6 1.00e+00 1.00e+00h  1
 154r 8.6665961e+01 4.58e-02 8.33e+00  -2.0 1.19e-01  -1.1 1.00e+00 1.00e+00h  1
 155r 8.6579490e+01 4.59e-02 1.41e+00  -2.0 2.01e-02  -0.7 1.00e+00 1.00e+00h  1
 156r 8.6551883e+01 4.59e-02 4.79e-01  -2.0 7.12e-03  -0.3 1.00e+00 1.00e+00h  1
 157r 8.6266093e+01 4.60e-02 2.92e+01  -3.0 9.83e-02  -0.7 1.00e+00 7.86e-01f  1
 158r 8.6410002e+01 4.61e-02 7.68e+01  -3.0 2.68e-01  -0.3 1.00e+00 3.68e-01f  1
 159r 8.6072360e+01 4.70e-02 4.52e+02  -3.0 1.30e+00  -0.8 1.00e+00 3.81e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 8.6128050e+01 4.72e-02 2.89e+02  -3.0 2.44e-01  -0.4 1.00e+00 5.83e-01f  1
 161r 8.5369540e+01 5.09e-02 7.96e+01  -3.0 1.65e+00  -0.8 1.00e+00 8.86e-01f  1
 162r 8.4824638e+01 5.11e-02 3.54e+02  -3.0 3.22e+00  -1.3 1.00e+00 2.89e-01f  1
 163r 8.3290116e+01 5.13e-02 4.19e+02  -3.0 6.30e+00  -1.8 1.00e+00 2.96e-01f  1
 164r 8.1313213e+01 1.71e-01 3.33e+02  -3.0 2.10e+01    -  1.83e-01 1.87e-01f  1
 165r 8.0506704e+01 1.28e-01 2.92e+02  -3.0 4.64e+00  -2.3 1.81e-01 2.63e-01h  1
 166r 8.0470170e+01 1.27e-01 8.09e+02  -3.0 3.12e+00  -0.9 1.52e-01 5.75e-03h  1
 167r 7.9807505e+01 7.41e-02 1.78e+02  -3.0 5.41e-01  -1.4 1.00e+00 4.21e-01f  1
 168r 7.9366872e+01 5.14e-02 1.09e+02  -3.0 6.52e-01  -1.9 1.00e+00 7.59e-01h  1
 169r 8.0465421e+01 5.14e-02 7.61e+01  -3.0 1.42e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 8.1015702e+01 5.15e-02 5.83e+01  -3.0 3.77e-01    -  1.00e+00 1.00e+00H  1
 171r 8.1300826e+01 5.15e-02 3.94e+01  -3.0 5.08e-01    -  1.00e+00 1.00e+00h  1
 172r 8.1309987e+01 5.15e-02 4.20e+01  -3.0 4.01e-01    -  1.00e+00 1.00e+00h  1
 173r 8.1374982e+01 5.15e-02 3.39e+01  -3.0 4.09e-01    -  1.00e+00 1.00e+00h  1
 174r 8.1339888e+01 5.15e-02 3.66e+01  -3.0 3.75e-01    -  1.00e+00 1.00e+00h  1
 175r 8.1374845e+01 5.15e-02 3.09e+01  -3.0 3.63e-01    -  1.00e+00 1.00e+00h  1
 176r 8.1337989e+01 5.15e-02 3.28e+01  -3.0 3.41e-01    -  1.00e+00 1.00e+00h  1
